drug_a,drug_b,severity,mechanism,clinical_effect,management
carbamazepine,oral contraceptives,moderate,Carbamazepine induces CYP3A4 increasing oestrogen and progestogen metabolism,Reduced contraceptive efficacy — risk of unintended pregnancy,Use additional contraceptive method or switch to barrier method; injectable medroxyprogesterone or intrauterine device preferred for patients on enzyme-inducing antiepileptics
clopidogrel,omeprazole,moderate,Omeprazole inhibits CYP2C19 which converts clopidogrel to active thiol metabolite,Reduced antiplatelet effect of clopidogrel; potential increased cardiovascular event risk,Use pantoprazole instead — lower CYP2C19 inhibition; review clinical evidence base as benefit of combination in most patients is debated
metformin,alcohol,moderate,Alcohol inhibits gluconeogenesis independently of metformin; potentiates lactic acid production,Increased risk of lactic acidosis particularly with binge drinking or chronic heavy alcohol use,Advise patients to avoid excessive alcohol; counsel on signs of lactic acidosis (nausea vomiting abdominal pain); acute illness with vomiting should prompt temporary metformin suspension
phenytoin,valproate,moderate,Valproate displaces phenytoin from plasma proteins increasing free fraction; also inhibits metabolism,Initially elevated free phenytoin levels despite potentially falling total levels — toxicity risk,Monitor free (unbound) phenytoin levels rather than total; titrate carefully; consult specialist
azathioprine,allopurinol,major,Allopurinol inhibits xanthine oxidase which metabolises the active metabolite of azathioprine; accumulation of 6-thioguanine nucleotides,Severe bone marrow suppression — pancytopenia potentially fatal,Reduce azathioprine dose to 25% of usual dose if combination essential; monitor FBC weekly initially; avoid combination where possible
rifampicin,warfarin,major,Rifampicin is a potent inducer of CYP2C9 and other CYP enzymes dramatically increasing warfarin metabolism,Greatly reduced anticoagulant effect; INR may fall below therapeutic range within days,Increase warfarin dose substantially with close INR monitoring during rifampicin course; INR may need checking every 3-5 days; dose reduction needed when rifampicin stopped
SSRIs,NSAIDs,moderate,SSRIs deplete platelet serotonin reducing platelet aggregation; NSAIDs inhibit COX-1 and protective prostaglandins; combined effect on gastrointestinal mucosa and platelet function,Increased risk of gastrointestinal bleeding approximately 15-fold compared to SSRI alone,Add gastroprotection with PPI in patients requiring concurrent NSAID treatment; use lowest effective NSAID dose for shortest duration
quinolones,antacids containing aluminium or magnesium,moderate,Divalent and trivalent cations chelate quinolone antibiotics in the gastrointestinal tract forming insoluble complexes,Reduced quinolone absorption — bioavailability may fall by 50-90% rendering treatment ineffective,Administer quinolone at least 2 hours before or 4-6 hours after antacid; same principle applies to iron calcium and sucralfate
tacrolimus,fluconazole,major,Fluconazole inhibits CYP3A4 and P-glycoprotein markedly increasing tacrolimus plasma levels,Tacrolimus toxicity — nephrotoxicity neurotoxicity; calcineurin inhibitor levels may increase 2-3 fold,Reduce tacrolimus dose by 50% when starting azoles; monitor tacrolimus trough levels every 2-3 days; adjust dose to maintain target range
metronidazole,warfarin,major,Metronidazole inhibits CYP2C9 reducing warfarin metabolism; also inhibits CYP3A4 affecting S-warfarin less,Significantly elevated INR — INR may double within 3-5 days,Monitor INR closely during metronidazole course and for 1 week after stopping; consider prophylactic warfarin dose reduction of 25%
spironolactone,ACE inhibitors,moderate,Both drugs impair aldosterone-mediated potassium excretion via different mechanisms,Hyperkalaemia — cardiac arrhythmia risk particularly in heart failure or renal impairment,Monitor serum potassium 1 week after starting combination; target potassium < 5.5 mmol/L; avoid if eGFR < 30 mL/min/1.73m²
beta-blockers,verapamil,major,Additive negative chronotropic and inotropic effects on cardiac conduction and contractility,Severe bradycardia complete heart block cardiogenic shock; combination is potentially fatal,Avoid concurrent IV use absolutely; oral combination requires specialist cardiology input; monitor ECG and haemodynamics
carbamazepine,lithium,moderate,Neurotoxic interaction not related to plasma levels; mechanism incompletely understood,Neurotoxicity — ataxia dysarthria confusion even at therapeutic plasma levels of both drugs,Use combination only when clinically necessary; monitor for neurological symptoms; measure plasma levels regularly; reduce doses if neurotoxicity develops
hydroxychloroquine,metformin,moderate,Hydroxychloroquine may enhance insulin secretion and improve insulin sensitivity adding to metformin glucose-lowering effect,Hypoglycaemia — particularly in patients on multiple antidiabetic agents,Monitor blood glucose more frequently when starting hydroxychloroquine; adjust antidiabetic doses as required; counsel patient on hypoglycaemia recognition and management
